config_value,mean_inf_time,std_dev_inf_time
4,730.1012329101562,266.64230006137944
6,925.4795288085937,350.5724914463717
8,1146.2767211914063,426.14308089293684
10,1389.3135559082032,481.14871872941814
12,1577.9500061035155,578.7415110105567
