config_value,mean_inf_time,std_dev_inf_time
4,10087.069222005208,918.8142898492808
6,13019.31650390625,1234.0647625828976
8,16014.574658203124,1510.6374973960103
10,19056.513346354168,1802.8837135645217
12,22048.566731770832,2059.5339503322166
