config_value,mean_inf_time,std_dev_inf_time
4,992.7511535644531,350.9877470090079
6,1027.496774291992,461.04408817017554
8,1012.3081970214844,423.3112455776344
10,1011.6890808105469,430.84959449732196
12,1035.9089050292969,440.26222492655154
14,1000.6457336425781,441.3617372056884
